DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
2014-5-1,0.017811856,0.12726,0.052174883,0.019528579,0.018899119,0.06543,0.047651782,0.021271115,0,1,1,1
2014-6-1,0.018899119,0.06543,0.047651782,0.021271115,0.017850792,0.01028,0.045992222,0.020723414,0,1,1,1
2014-7-1,0.017850792,0.01028,0.045992222,0.020723414,0.018114727,-0.03564,0.039632824,0.019923286,0,0,0,0
2014-8-1,0.018114727,-0.03564,0.039632824,0.019923286,0.016422027,-0.01442,0.050514243,0.016996113,0,0,1,0
2014-9-1,0.016422027,-0.01442,0.050514243,0.016996113,0.016277696,0.02674,0.046589979,0.016579187,0,1,1,0
2014-10-1,0.016277696,0.02674,0.046589979,0.016579187,0.01430369,0.07583,0.045075375,0.016643402,0,1,1,0
2014-11-1,0.01430369,0.07583,0.045075375,0.016643402,0.011945309,0.1257,0.047847901,0.013223552,0,1,1,0
2014-12-1,0.011945309,0.1257,0.047847901,0.013223552,0.008385251,0.2047,0.030599525,0.007564933,0,1,0,0
2015-1-1,0.008385251,0.2047,0.030599525,0.007564933,0.00182835,0.2019,0.033817383,-0.000893483,0,1,0,0
2015-2-1,0.00182835,0.2019,0.033817383,-0.000893483,0.002892376,0.1142,0.017370127,-0.000251298,0,1,0,0
2015-3-1,0.002892376,0.1142,0.017370127,-0.000251298,0.002808578,0.0401,0.023050123,-0.000736374,0,1,0,0
2015-4-1,0.002808578,0.0401,0.023050123,-0.000736374,0.001635164,-0.0056,0.01206913,-0.001995174,0,0,0,0
2015-5-1,0.001635164,-0.0056,0.01206913,-0.001995174,0.002302782,-0.0645,0.019679669,-0.000399327,0,0,0,0
